"dompred","season","avgFDis","lower.CL","upper.CL"
"S","W",1.91921178182161,0.124794226735625,4.90193540989825
"S","Sp",1.73505470711786,0,4.09903992278776
"S","Su",1.27970717464689,0,3.45472421973762
"S","F",1.62446788884485,0,2.77637047764305
"G","W",1.70632405275185,0.63995954390901,2.32762647723456
"G","Sp",1.32982442849184,0,2.46927393761416
"G","Su",1.20260302037065,0,2.36994995919457
"G","F",1.11467059542677,0.26288809835591,2.22047231791962
"B","W",1.74437973421121,0.483829812820977,2.88455686883356
"B","Sp",1.5266210967199,0.0226618426265171,2.68358338711897
"B","Su",1.50625360899165,0.216832271576076,2.59312463484689
"B","F",1.3629156729689,0.61067421760017,2.52258682392143
