pond,Ambystoma,Bass,Bluegill,Bullhead.catfish,Crayfish,Darter,Gambusia,Grass.Pickeral,Grn.Sunfish,Longear.Sun,Newt,Pygmy.SF,Siren,Sunfish_other,Warmouth
ANF  1-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ANF 11-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ANF 13-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ANF 13-2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
ANF 17-1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
ANF 66-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ANF 67-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ANF 84-1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
ANF 85-1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0
DC 10-1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1
DC 13-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DC 15-2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
DC 15-3,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0
DC 17-2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
DC 18-1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0
DC 19-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DC 19-2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
DC 29-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
DC 29-2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
DC 29-4,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
DC 29-5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
DC 34-3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DC 36-1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
DC 36-2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DC 36-3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DC 5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DC 55-1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
DC 6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
DC 6-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC 68-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
DC 7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
DC 76-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
DC 76-2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
DC 78-1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0
DC 8,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
DC 81-1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
DC 8-2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DC 82-1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1
DC 87-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
DC 94-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DC101-1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
DC108-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DC114-1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0
DC114-2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
DC114-3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DC115-1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
DC116-1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0
DC120-1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
DC121-1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
