"","dompred","season","response","SE","df","asymp.LCL","asymp.UCL"
"1","N","W",0.15458990388473,0.0286257857075644,Inf,0.113424578419043,0.24265812279134
"2","S","W",0.182346930610404,0.0199557829635119,Inf,0.150142107794425,0.232139925187302
"3","G","W",0.0951411843937691,0.00514946890386588,Inf,0.0860163880669762,0.106431676764072
"4","B","W",0.0883721351377724,0.00499002201371773,Inf,0.0795664128727322,0.0993694907501727
"5","N","Sp",0.129950293673798,0.0204773699190954,Inf,0.0992859972851241,0.188019887824804
"6","S","Sp",0.247819994822205,0.0315244058956642,Inf,0.198363765458467,0.33012773307563
"7","G","Sp",0.131422499697872,0.00902720308454456,Inf,0.1158288325567,0.151868006089304
"8","B","Sp",0.148413600636564,0.0123311484541342,Inf,0.127629592723734,0.177283576456913
"9","N","Su",0.110123928370753,0.0135186678682894,Inf,0.0887664828824696,0.14501488495541
"10","S","Su",0.191109118686057,0.0186711277208739,Inf,0.160395593623945,0.236370848171531
"11","G","Su",0.0941410841557807,0.00458594848252822,Inf,0.0859361696587418,0.104078136433528
"12","B","Su",0.0901503646420373,0.00474021580405437,Inf,0.0817277266333252,0.100508498053779
"13","N","F",0.141210713245018,0.0191249993525451,Inf,0.111589372665632,0.192240981070499
"14","S","F",0.244772470850963,0.0302486185266428,Inf,0.197046056106521,0.323008075727133
"15","G","F",0.114169970873282,0.0065466702375151,Inf,0.102635103844547,0.128625865596811
"16","B","F",0.139311945541201,0.0101171887990609,Inf,0.121953394129935,0.16243214445373
