pond,perimeter,area,depth,depthcon,veg,wood,canopy,substrate,litter,substratedepth
ANF 85-1,73,276.8,150,5,0,2,3,2,3,shallow
ANF 13-1,88,503.7,70,4,0,4,3,1,2,shallow
ANF 17-1,96,551.4,165,3,0,3,3,na,3,10
ANF 13-2,61,188.2,105,5,1,2,3,4,1,shallow
DC 17-2,31,55.7,80,5,1,2,3,2,1,0
ANF  1-1,105,345.9,45,5,1,4,4,2,2,shallow
DC 6-1,23,29.2,45,5,1,1,4,2,3,shallow
DC 19-1,70,246.2,45,5,1,2,4,2,3,shallow
DC 29-5,286,2141.9,40,5,1,5,5,2,3,< 5cm
DC 5,94,547.1,160,4,1,4,4,1,3,5
ANF 66-1,68,326.3,141,4,1,3,3,2,2,15
DC 94-1,47,118.4,140,5,2,2,4,1,2,10
DC114-2,31,74.3,70,5,2,1,3,1,na,30
DC 36-2,132,364.3,58,5,2,5,4,1,3,shallow
DC 8-2,22,24.9,18,5,2,0,2,2,1,shallow
DC 76-2,73,382.6,195,4,2,2,4,1,2,20
DC114-3,36,96.5,140,4,2,3,4,2,3,shallow
DC116-1,111,830.9,180,3,2,2,3,1,na,15
DC 76-1,173,1250.5,175,2,2,2,2,1,2,5
DC 18-1,219,1393.1,160,2,2,4,3,1,3,deep in parts
DC 7,79,257.2,105,5,3,3,4,1,3,12
ANF 84-1,96,624.9,150,4,3,1,1,1,1,na
DC120-1,75,319.9,140,4,3,2,3,2,3,shallow
DC 36-1,58,219.4,130,4,3,1,4,1,na,17
DC 78-1,167,497.1,190,3,3,2,2,1,3,12
DC 87-1,94,640.6,185,3,3,2,4,1,2,20
ANF 11-1,100,555.8,170,3,3,4,2,1,2,20
DC114-1,241,1894.2,285,2,3,5,3,1,2,somewhat deep
DC115-1,140,991.2,225,2,3,3,2,1,na,15
DC 15-3,185,921.4,170,2,3,3,3,2,3,shallow
DC 29-4,245,1659.7,240,1,3,3,3,na,na,na
DC121-1,123,842.6,165,5,4,3,2,2,na,na
DC 15-2,43,138.4,130,5,4,2,4,2,3,shallow
DC 6,70,316,100,5,4,3,3,1,2,20
DC 13-1,32,69,52,5,4,2,4,2,3,shallow
DC101-1,135,945.8,45,5,4,3,2,1,1,10
DC 34-3,37,60.5,40,5,4,1,3,2,1,shallow
DC 81-1,83,232.4,165,4.5,4,2,4,2,3,2
DC 10-1,94,563.5,130,4,4,5,4,1,3,10
DC 29-2,74,270.1,130,4,4,3,4,1,3,deep
ANF 67-1,67,293.1,120,4,4,3,1,2,1,shalow
DC 19-2,184,1007.5,180,2,4,2,3,2,1,shallow
DC 82-1,144,1343.5,175,2,4,2,3,2,1,shallow
DC 29-1,144,1303,160,2,4,3,2,1,3,10
DC 68-1,190,2324,120,2,4,2,2,1,2,20
DC 36-3,76,159.6,65,5,5,1,1,2,1,shallow
DC 55-1,81,253.1,45,5,5,4,3,2,3,shallow
DC108-1,62,231.1,160,4,5,2,4,1,1,20
DC 8,260,1704.9,190,2,5,5,3,1,na,10
