"dompred","season","avgdist","asymp.LCL","asymp.UCL"
"S","W_Sp",0.257364758589928,0.0449488475536493,0.574813233339487
"S","Sp_Su",0.23822996968384,0.0377680595941584,0.670641626388457
"S","Su_F",0.223865379333746,0.0232621313399767,0.62892464743493
"S","F_W",0.226652665310155,0.00619169969663183,0.837065955464951
"G","W_Sp",0.156373694072529,0.0363058367970717,0.404154286656605
"G","Sp_Su",0.149140669163134,0.0234207494127364,0.33135953226445
"G","Su_F",0.148806906800385,0.0393475520127782,0.367405660332971
"G","F_W",0.147440295722189,0.023990610326214,0.348192948998548
"B","W_Sp",0.179101909631528,0.0401036706680752,0.484134637983062
"B","Sp_Su",0.149947198898257,0.0173045579168892,0.54796786527853
"B","Su_F",0.15732324595281,0.0242429199853667,0.558464379940341
"B","F_W",0.17789701648646,0.0399019958316076,0.434442354075952
